model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,esl,0.8,1.0,0.1,0.42066296049989077,0.42589337162639934,-0.005230411126508572
Heston,esl,0.8,1.0,0.125,0.506235890546235,0.42589337162639934,0.08034251891983563
Heston,esl,0.8,1.0,0.15,0.482829236373066,0.42589337162639934,0.056935864746666676
Heston,esl,0.8,1.0,0.175,0.5668819858732653,0.42589337162639934,0.14098861424686598
Heston,esl,0.8,1.0,0.2,0.9296293477635734,0.42589337162639934,0.503735976137174
Heston,esl,0.8,1.0,0.22499999999999998,0.7315996683050313,0.42589337162639934,0.305706296678632
Heston,esl,0.8,1.0,0.25,0.6797952733508508,0.42589337162639934,0.25390190172445143
Heston,esl,0.8,1.0,0.275,1.9275167051282296,0.42589337162639934,1.5016233335018303
Heston,esl,0.8,1.0,0.3,0.6936584970428703,0.42589337162639934,0.26776512541647096
Heston,esl,0.8,1.375,0.1,0.4233290672001275,0.42589337162639934,-0.0025643044262718684
Heston,esl,0.8,1.375,0.125,0.7389539324890293,0.42589337162639934,0.31306056086262996
Heston,esl,0.8,1.375,0.15,0.6471901809797609,0.42589337162639934,0.22129680935336155
Heston,esl,0.8,1.375,0.175,0.6621707276801738,0.42589337162639934,0.23627735605377448
Heston,esl,0.8,1.375,0.2,0.8141507658042144,0.42589337162639934,0.3882573941778151
Heston,esl,0.8,1.375,0.22499999999999998,0.9591904782927527,0.42589337162639934,0.5332971066663534
Heston,esl,0.8,1.375,0.25,0.8164412565531449,0.42589337162639934,0.3905478849267456
Heston,esl,0.8,1.375,0.275,1.229591827781384,0.42589337162639934,0.8036984561549847
Heston,esl,0.8,1.375,0.3,0.6331247553655728,0.42589337162639934,0.20723138373917344
Heston,esl,0.8,1.75,0.1,0.42808231985539974,0.42589337162639934,0.002188948229000398
Heston,esl,0.8,1.75,0.125,0.4651278471283698,0.42589337162639934,0.039234475501970456
Heston,esl,0.8,1.75,0.15,0.5525754284282887,0.42589337162639934,0.12668205680188932
Heston,esl,0.8,1.75,0.175,0.7288160104954873,0.42589337162639934,0.30292263886908793
Heston,esl,0.8,1.75,0.2,1.2137413807266992,0.42589337162639934,0.7878480091003
Heston,esl,0.8,1.75,0.22499999999999998,0.6468317740376462,0.42589337162639934,0.2209384024112469
Heston,esl,0.8,1.75,0.25,0.9555335915737768,0.42589337162639934,0.5296402199473775
Heston,esl,0.8,1.75,0.275,0.8242467066262922,0.42589337162639934,0.39835333499989284
Heston,esl,0.8,1.75,0.3,0.7181876198223729,0.42589337162639934,0.29229424819597355
Heston,esl,0.8,2.125,0.1,0.5285187420167755,0.42589337162639934,0.10262537039037617
Heston,esl,0.8,2.125,0.125,0.536373674001527,0.42589337162639934,0.11048030237512768
Heston,esl,0.8,2.125,0.15,0.8263687225506602,0.42589337162639934,0.40047535092426084
Heston,esl,0.8,2.125,0.175,0.5050514723363962,0.42589337162639934,0.0791581007099969
Heston,esl,0.8,2.125,0.2,0.6039190579425111,0.42589337162639934,0.17802568631611176
Heston,esl,0.8,2.125,0.22499999999999998,0.8306516860285971,0.42589337162639934,0.4047583144021977
Heston,esl,0.8,2.125,0.25,0.7005479411086677,0.42589337162639934,0.27465456948226835
Heston,esl,0.8,2.125,0.275,1.323665834879938,0.42589337162639934,0.8977724632535387
Heston,esl,0.8,2.125,0.3,0.6998177367317515,0.42589337162639934,0.2739243651053522
Heston,esl,0.8,2.5,0.1,0.42251113196278245,0.42589337162639934,-0.0033822396636168928
Heston,esl,0.8,2.5,0.125,0.5933071920371475,0.42589337162639934,0.1674138204107482
Heston,esl,0.8,2.5,0.15,0.9033552925882147,0.42589337162639934,0.47746192096181533
Heston,esl,0.8,2.5,0.175,0.8050786016559492,0.42589337162639934,0.3791852300295499
Heston,esl,0.8,2.5,0.2,0.6994670303066308,0.42589337162639934,0.2735736586802315
Heston,esl,0.8,2.5,0.22499999999999998,0.748246452413416,0.42589337162639934,0.3223530807870167
Heston,esl,0.8,2.5,0.25,1.0791243022657464,0.42589337162639934,0.6532309306393471
Heston,esl,0.8,2.5,0.275,0.8681406502630823,0.42589337162639934,0.44224727863668295
Heston,esl,0.8,2.5,0.3,0.9503600892010328,0.42589337162639934,0.5244667175746334
Heston,esl,0.8,2.875,0.1,0.5278824334290825,0.42589337162639934,0.10198906180268313
Heston,esl,0.8,2.875,0.125,0.7142705017038731,0.42589337162639934,0.28837713007747373
Heston,esl,0.8,2.875,0.15,0.4887815520940717,0.42589337162639934,0.06288818046767236
Heston,esl,0.8,2.875,0.175,0.8696499719065456,0.42589337162639934,0.44375660028014624
Heston,esl,0.8,2.875,0.2,0.8391810704672145,0.42589337162639934,0.4132876988408151
Heston,esl,0.8,2.875,0.22499999999999998,0.7824271138649642,0.42589337162639934,0.3565337422385649
Heston,esl,0.8,2.875,0.25,1.3200249328484714,0.42589337162639934,0.8941315612220722
Heston,esl,0.8,2.875,0.275,1.104380699594703,0.42589337162639934,0.6784873279683037
Heston,esl,0.8,2.875,0.3,0.7047514404788123,0.42589337162639934,0.278858068852413
Heston,esl,0.8,3.25,0.1,0.5068152473468598,0.42589337162639934,0.08092187572046045
Heston,esl,0.8,3.25,0.125,0.6996676350037723,0.42589337162639934,0.27377426337737293
Heston,esl,0.8,3.25,0.15,0.7050410430331312,0.42589337162639934,0.27914767140673186
Heston,esl,0.8,3.25,0.175,0.7607504213825751,0.42589337162639934,0.33485704975617575
Heston,esl,0.8,3.25,0.2,0.6682368379383756,0.42589337162639934,0.24234346631197629
Heston,esl,0.8,3.25,0.22499999999999998,0.7876350473739093,0.42589337162639934,0.36174167574751
Heston,esl,0.8,3.25,0.25,0.7445607146257542,0.42589337162639934,0.3186673429993549
Heston,esl,0.8,3.25,0.275,1.295076954052771,0.42589337162639934,0.8691835824263716
Heston,esl,0.8,3.25,0.3,1.1974580464892814,0.42589337162639934,0.7715646748628822
Heston,esl,0.8,3.625,0.1,0.5620977216257466,0.42589337162639934,0.13620434999934722
Heston,esl,0.8,3.625,0.125,0.8732518584269415,0.42589337162639934,0.4473584868005422
Heston,esl,0.8,3.625,0.15,0.5811203711728825,0.42589337162639934,0.15522699954648317
Heston,esl,0.8,3.625,0.175,0.5611694022416469,0.42589337162639934,0.13527603061524757
Heston,esl,0.8,3.625,0.2,0.826453550233032,0.42589337162639934,0.4005601786066327
Heston,esl,0.8,3.625,0.22499999999999998,1.3538270462694584,0.42589337162639934,0.9279336746430591
Heston,esl,0.8,3.625,0.25,0.9272379808899347,0.42589337162639934,0.5013446092635354
Heston,esl,0.8,3.625,0.275,1.075567572069207,0.42589337162639934,0.6496742004428078
Heston,esl,0.8,3.625,0.3,0.9583675707839938,0.42589337162639934,0.5324741991575945
Heston,esl,0.8,4.0,0.1,0.495355453087986,0.42589337162639934,0.06946208146158667
Heston,esl,0.8,4.0,0.125,0.5467207455041304,0.42589337162639934,0.12082737387773107
Heston,esl,0.8,4.0,0.15,0.8770509235709784,0.42589337162639934,0.451157551944579
Heston,esl,0.8,4.0,0.175,1.0349765729278033,0.42589337162639934,0.609083201301404
Heston,esl,0.8,4.0,0.2,0.8102409827884527,0.42589337162639934,0.38434761116205335
Heston,esl,0.8,4.0,0.22499999999999998,0.6017346247936807,0.42589337162639934,0.17584125316728133
Heston,esl,0.8,4.0,0.25,1.2344332171339372,0.42589337162639934,0.8085398455075379
Heston,esl,0.8,4.0,0.275,0.9449876104734962,0.42589337162639934,0.5190942388470969
Heston,esl,0.8,4.0,0.3,1.1805329844156063,0.42589337162639934,0.754639612789207
